season,fold,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
kharif,3,51,0.0898,0.9834,0.417,0.9308,0.9303,3.125e-05
kharif,3,52,0.0888,0.9835,0.4176,0.9298,0.9296,3.125e-05
kharif,3,53,0.0883,0.9835,0.4185,0.9298,0.9295,1.5625e-05
kharif,3,54,0.0882,0.9836,0.4175,0.93,0.9295,1.5625e-05
kharif,3,55,0.0879,0.9837,0.4172,0.9304,0.9301,1.5625e-05
kharif,3,56,0.0875,0.9837,0.4187,0.9305,0.9301,1.5625e-05
kharif,4,1,0.7402,0.8711,0.4539,0.9162,0.9083,0.001
kharif,4,2,0.4494,0.9207,0.423,0.9218,0.9203,0.001
kharif,4,3,0.3849,0.9324,0.4503,0.9118,0.9148,0.001
kharif,4,4,0.3638,0.9347,0.4042,0.923,0.9239,0.001
kharif,4,5,0.3356,0.9403,0.4223,0.9228,0.9177,0.001
kharif,4,6,0.3236,0.942,0.4231,0.9213,0.919,0.001
kharif,4,7,0.3017,0.9466,0.393,0.9276,0.9259,0.001
kharif,4,8,0.285,0.9493,0.3825,0.9279,0.9277,0.001
kharif,4,9,0.2754,0.951,0.4147,0.9212,0.9228,0.001
kharif,4,10,0.2653,0.9528,0.3774,0.9309,0.9294,0.001
kharif,4,11,0.2587,0.9537,0.3842,0.9284,0.9283,0.001
kharif,4,12,0.2462,0.9561,0.3961,0.9279,0.9269,0.001
kharif,4,13,0.2327,0.9591,0.4005,0.9281,0.9259,0.001
kharif,4,14,0.2312,0.9586,0.4031,0.928,0.9263,0.001
kharif,4,15,0.2187,0.9612,0.4409,0.9214,0.9169,0.001
kharif,4,16,0.2157,0.9614,0.3767,0.9335,0.9309,0.001
kharif,4,17,0.198,0.9645,0.4325,0.9195,0.919,0.001
kharif,4,18,0.2003,0.9644,0.4165,0.9244,0.9242,0.001
kharif,4,19,0.1939,0.9657,0.3867,0.932,0.9297,0.001
kharif,4,20,0.1891,0.966,0.4208,0.9258,0.9255,0.001
kharif,4,21,0.1766,0.9686,0.4185,0.9272,0.9256,0.001
kharif,4,22,0.177,0.9684,0.4341,0.9222,0.9218,0.001
kharif,4,23,0.1839,0.9671,0.418,0.923,0.9222,0.001
kharif,4,24,0.1805,0.9672,0.397,0.9306,0.9293,0.0005
kharif,4,25,0.1486,0.9729,0.4388,0.9202,0.921,0.0005
kharif,4,26,0.1365,0.9754,0.4323,0.9283,0.9247,0.0005
kharif,4,27,0.1278,0.977,0.4196,0.9275,0.926,0.0005
kharif,4,28,0.1231,0.9777,0.4039,0.9321,0.9301,0.0005
kharif,4,29,0.1216,0.978,0.4309,0.9265,0.9251,0.0005
kharif,4,30,0.1186,0.9785,0.4324,0.9262,0.9241,0.0005
kharif,4,31,0.1137,0.9792,0.4107,0.9296,0.9291,0.0005
kharif,4,32,0.115,0.9791,0.4032,0.9327,0.931,0.00025
kharif,4,33,0.1076,0.9801,0.4276,0.928,0.9254,0.00025
kharif,4,34,0.1032,0.9811,0.4195,0.9294,0.9273,0.00025
kharif,4,35,0.1008,0.9813,0.4296,0.9287,0.926,0.00025
kharif,4,36,0.0991,0.9817,0.4333,0.9269,0.9253,0.00025
kharif,4,37,0.0978,0.9819,0.4297,0.9279,0.926,0.00025
kharif,4,38,0.0955,0.9823,0.4244,0.9293,0.9274,0.00025
kharif,4,39,0.0962,0.9824,0.4252,0.9292,0.9269,0.00025
kharif,4,40,0.0938,0.9826,0.4449,0.9248,0.9231,0.000125
kharif,4,41,0.0916,0.983,0.4199,0.9296,0.9276,0.000125
kharif,4,42,0.0882,0.9835,0.4342,0.9271,0.9247,0.000125
kharif,4,43,0.088,0.9836,0.4416,0.9271,0.9246,0.000125
kharif,4,44,0.087,0.9838,0.4278,0.9278,0.9258,0.000125
kharif,4,45,0.0878,0.9835,0.4308,0.9297,0.9273,0.000125
kharif,4,46,0.0862,0.9838,0.4352,0.9277,0.9256,0.000125
kharif,4,47,0.0858,0.9838,0.4317,0.9289,0.9264,0.000125
kharif,4,48,0.0856,0.9838,0.4352,0.9289,0.9266,6.25e-05
kharif,4,49,0.0831,0.9842,0.4357,0.9281,0.9259,6.25e-05
kharif,4,50,0.0825,0.9845,0.4352,0.9281,0.9261,6.25e-05
kharif,4,51,0.0819,0.9845,0.4393,0.9275,0.9254,6.25e-05
kharif,4,52,0.0809,0.9846,0.4422,0.928,0.9255,6.25e-05
kharif,5,1,0.7592,0.8689,0.4983,0.9023,0.9045,0.001
kharif,5,2,0.4258,0.9246,0.461,0.9112,0.9155,0.001
kharif,5,3,0.3691,0.935,0.4427,0.9166,0.9187,0.001
kharif,5,4,0.3372,0.94,0.5222,0.9005,0.902,0.001
kharif,5,5,0.3095,0.9454,0.4441,0.916,0.9186,0.001
kharif,5,6,0.2993,0.9471,0.44,0.9188,0.9217,0.001
kharif,5,7,0.2776,0.9507,0.413,0.9252,0.9257,0.001
kharif,5,8,0.2618,0.9539,0.4232,0.9213,0.9237,0.001
kharif,5,9,0.2561,0.9548,0.4234,0.922,0.9236,0.001
kharif,5,10,0.2439,0.9566,0.4367,0.9183,0.9207,0.001
kharif,5,11,0.2295,0.9596,0.4347,0.9187,0.9215,0.001
kharif,5,12,0.2276,0.9596,0.4256,0.9219,0.9247,0.001
kharif,5,13,0.2193,0.9607,0.4139,0.9231,0.9252,0.001
kharif,5,14,0.2097,0.9626,0.4399,0.9209,0.9225,0.001
kharif,5,15,0.2002,0.9652,0.4324,0.9237,0.9248,0.0005
kharif,5,16,0.1688,0.97,0.4385,0.9215,0.9233,0.0005
kharif,5,17,0.1586,0.9717,0.4109,0.9261,0.9273,0.0005
kharif,5,18,0.1453,0.974,0.4159,0.9265,0.9276,0.0005
kharif,5,19,0.1433,0.9745,0.4272,0.9247,0.9252,0.0005
kharif,5,20,0.1414,0.9752,0.4263,0.9257,0.9264,0.0005
kharif,5,21,0.1341,0.976,0.4352,0.9245,0.9255,0.0005
kharif,5,22,0.1368,0.9756,0.4351,0.9248,0.9247,0.0005
kharif,5,23,0.1314,0.9766,0.4301,0.9239,0.926,0.0005
kharif,5,24,0.1262,0.9775,0.4359,0.9247,0.926,0.0005
kharif,5,25,0.1223,0.9782,0.4339,0.9249,0.9262,0.00025
kharif,5,26,0.1119,0.98,0.4381,0.9259,0.9267,0.00025
kharif,5,27,0.1057,0.9809,0.434,0.9263,0.9271,0.00025
kharif,5,28,0.1041,0.9809,0.4449,0.9244,0.925,0.00025
kharif,5,29,0.101,0.9816,0.4414,0.9247,0.9256,0.00025
kharif,5,30,0.0992,0.9817,0.4446,0.925,0.9253,0.00025
kharif,5,31,0.0985,0.9822,0.4391,0.9261,0.9268,0.00025
kharif,5,32,0.0982,0.9823,0.4504,0.9237,0.9245,0.00025
kharif,5,33,0.0964,0.9825,0.4494,0.9239,0.9247,0.000125
kharif,5,34,0.0928,0.9832,0.4482,0.9245,0.925,0.000125
kharif,5,35,0.0905,0.9834,0.4495,0.925,0.9251,0.000125
kharif,5,36,0.0897,0.9835,0.4542,0.9232,0.9236,0.000125
kharif,5,37,0.0883,0.9836,0.4479,0.9242,0.9252,0.000125
kharif,5,38,0.0869,0.984,0.4494,0.9246,0.9244,0.000125
