ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
3-313-12-2-02092023-1-1668,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9984,0.0134,True
3-313-12-2-02092023-1-1689,Charsadda,Khyber Pakhtunkhwa,Rice,Maize,0.9926,0.0474,True
3-313-12-2-02092023-1-1691,Charsadda,Khyber Pakhtunkhwa,Sorghum,Maize,0.9995,0.0046,True
3-313-12-2-03092023-1-1808,Charsadda,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9986,0.0127,True
3-313-12-2-03092023-1-1837,Mardan,Khyber Pakhtunkhwa,Rice,Maize,1.0,0.0006,True
3-313-12-2-03092023-1-1880,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9998,0.002,True
3-313-12-2-03092023-1-1911,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9973,0.0192,True
3-313-12-2-03092023-1-1948,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9998,0.0019,True
3-313-12-2-04092023-1-1983,Charsadda,Khyber Pakhtunkhwa,Rice,Maize,0.9995,0.005,True
3-313-12-2-04092023-1-2024,Charsadda,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9978,0.0182,True
3-313-12-2-04092023-1-2091,Charsadda,Khyber Pakhtunkhwa,Maize,Sorghum,0.9985,0.0127,True
3-313-12-2-04092023-1-2093,Charsadda,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9995,0.0049,True
3-313-12-2-04092023-1-2095,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9999,0.0014,True
3-313-12-2-04092023-1-2103,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9991,0.0083,True
3-313-22-2-02092023-1-1535,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9978,0.0169,True
3-313-22-2-02092023-1-1594,Charsadda,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9995,0.0047,True
3-313-22-2-04092023-1-1769,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9999,0.0008,True
3-313-22-2-04092023-1-1805,Charsadda,Khyber Pakhtunkhwa,Sugarcane,Maize,0.998,0.015,True
3-315-12-2-05092023-1-2194,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9941,0.044,True
3-315-12-2-05092023-1-2216,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9968,0.0237,True
