season,fold,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
rabi,5,7,0.2315,0.9574,0.4571,0.9191,0.9195,0.001
rabi,5,8,0.2265,0.9587,0.4458,0.9199,0.9209,0.001
rabi,5,9,0.2156,0.9611,0.4585,0.9212,0.921,0.001
rabi,5,10,0.214,0.9612,0.4531,0.9204,0.92,0.001
rabi,5,11,0.1996,0.9639,0.477,0.9145,0.915,0.001
rabi,5,12,0.209,0.9616,0.4239,0.9279,0.9266,0.001
rabi,5,13,0.1936,0.965,0.4938,0.9143,0.9112,0.001
rabi,5,14,0.1893,0.9655,0.4616,0.9186,0.9197,0.001
rabi,5,15,0.1924,0.9644,0.4332,0.9258,0.9252,0.001
rabi,5,16,0.1819,0.9668,0.4545,0.9201,0.9198,0.001
rabi,5,17,0.166,0.9694,0.4458,0.9225,0.9227,0.001
rabi,5,18,0.1731,0.9683,0.4884,0.9139,0.9143,0.001
rabi,5,19,0.1704,0.9687,0.4559,0.9245,0.9229,0.001
rabi,5,20,0.1669,0.97,0.4467,0.921,0.9218,0.0005
rabi,5,21,0.14,0.9747,0.4385,0.9247,0.9244,0.0005
rabi,5,22,0.1267,0.9771,0.4441,0.9232,0.9235,0.0005
rabi,5,23,0.123,0.9779,0.4428,0.9232,0.9236,0.0005
rabi,5,24,0.1173,0.9792,0.4505,0.9221,0.9221,0.0005
rabi,5,25,0.1159,0.9798,0.4616,0.9219,0.921,0.0005
rabi,5,26,0.1114,0.9805,0.4699,0.9199,0.9188,0.0005
rabi,5,27,0.1096,0.9803,0.4449,0.924,0.9249,0.0005
rabi,5,28,0.1054,0.9814,0.4473,0.9212,0.9222,0.00025
rabi,5,29,0.0992,0.9823,0.4343,0.9266,0.9266,0.00025
rabi,5,30,0.0965,0.9833,0.4533,0.921,0.922,0.00025
rabi,5,31,0.0918,0.9842,0.4467,0.9247,0.924,0.00025
rabi,5,32,0.0891,0.9844,0.4483,0.9234,0.9229,0.00025
