ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
1-113-18-1-03032023-2-293,Multan,Punjab,Maize,Wheat,0.9995,0.0047,True
1-113-18-1-04032023-2-61,Multan,Punjab,Maize,Rapeseed Mustard,0.9997,0.0027,True
1-114-20-1-15032023-2-2104,Muzaffargarh,Punjab,Maize,Sugarcane,0.9995,0.0044,True
1-114-21-1-14032023-1-2009,Muzaffargarh,Punjab,Wheat,Sugarcane,0.9998,0.0019,True
1-114-21-1-14032023-2-1999,Muzaffargarh,Punjab,Sugarcane,Wheat,0.9993,0.0063,True
1-114-21-1-16032023-2-2171,Muzaffargarh,Punjab,Rapeseed Mustard,Wheat,0.9995,0.0046,True
1-115-1-1-06032023-2-401,Sahiwal,Punjab,Wheat,Barseem,0.9986,0.0128,True
1-116-5-1-05032023-2-276,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9989,0.0096,True
1-116-5-1-05032023-2-326,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9986,0.0127,True
1-116-5-1-05032023-2-337,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9987,0.011,True
1-116-5-1-06032023-2-398,Rahim Yar Khan,Punjab,Sugarcane,Wheat,0.9994,0.0058,True
1-116-5-1-06032023-2-458,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9986,0.0117,True
1-116-5-1-06032023-2-461,Rahim Yar Khan,Punjab,Barseem,Wheat,0.9987,0.0115,True
1-116-5-1-06032023-2-466,Rahim Yar Khan,Punjab,Sugarcane,Wheat,0.9994,0.006,True
1-116-5-1-06032023-2-483,Rahim Yar Khan,Punjab,Barseem,Wheat,0.9983,0.0141,True
1-116-5-1-07032023-2-503,Rahim Yar Khan,Punjab,Barseem,Wheat,0.9979,0.0168,True
1-116-5-1-07032023-2-527,Rahim Yar Khan,Punjab,Rapeseed Mustard,Barseem,0.9992,0.0071,True
1-116-5-1-07032023-2-560,Rahim Yar Khan,Punjab,Sugarcane,Wheat,0.998,0.016,True
1-116-5-1-07032023-2-578,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9987,0.011,True
1-116-5-1-07032023-2-586,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9974,0.0209,True
1-116-5-1-08032023-2-684,Ghotki,Sindh,Wheat,Sugarcane,0.9998,0.0022,True
1-116-5-1-09032023-2-741,Ghotki,Sindh,Wheat,Sugarcane,0.9976,0.0187,True
1-117-22-1-03032023-2-195,Rajanpur,Punjab,Rapeseed Mustard,Wheat,0.9994,0.0055,True
1-117-22-1-04032023-2-321,Rajanpur,Punjab,Barseem,Wheat,0.9993,0.0067,True
1-117-22-1-05032023-1-375,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9995,0.005,True
1-117-22-1-05032023-2-339,Rahim Yar Khan,Punjab,Rapeseed Mustard,Wheat,0.9994,0.0058,True
1-117-22-1-05032023-2-408,Rahim Yar Khan,Punjab,Sugarcane,Barseem,0.9993,0.0067,True
1-117-22-1-05032023-2-424,Rahim Yar Khan,Punjab,Wheat,Barseem,0.9982,0.014,True
1-117-22-1-05032023-2-477,Rahim Yar Khan,Punjab,Sugarcane,Barseem,0.9991,0.0079,True
